               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,    metrics/fish_mAP,metrics/jellyfish_mAP, metrics/penguin_mAP,  metrics/puffin_mAP,   metrics/shark_mAP,metrics/starfish_mAP,metrics/stingray_mAP, metrics/fish_mAP_50,metrics/jellyfish_mAP_50,metrics/penguin_mAP_50,metrics/puffin_mAP_50,metrics/shark_mAP_50,metrics/starfish_mAP_50,metrics/stingray_mAP_50
                   0,             0.10508,           0.0088592,            0.055396,           0.0065395,             0.30068,            0.013273,           0.0039439,            0.084117,           0.0082378,            0.049152,              0.0757,              0.0027,              0.0027,            0.017629,           0.0051778,          0.00093372,          1.4665e-05,           0.0010405,          0.00076066,           0.0020508,            0.063563,            0.014917,            0.003797,          0.00014665,           0.0034588,           0.0021261,           0.0049032
                   1,            0.080409,            0.011853,            0.041855,            0.013635,             0.25568,            0.019804,           0.0062186,            0.079753,            0.007877,            0.040117,            0.050482,           0.0054818,           0.0054818,           0.0090743,           0.0072783,            0.010768,           0.0035776,           0.0051125,           0.0017371,           0.0059821,            0.037402,            0.025867,            0.028958,            0.011925,            0.014272,           0.0050291,            0.015172
                   2,            0.070215,            0.011669,            0.035684,              0.6021,             0.20413,            0.065541,            0.020034,            0.062564,           0.0086742,            0.030385,            0.025245,           0.0082452,           0.0082452,            0.023332,            0.069977,            0.019741,             0.00581,            0.011562,                   0,           0.0098147,            0.087219,             0.25363,            0.057063,           0.0096833,            0.026767,                   0,            0.024427
                   3,            0.065314,             0.01175,             0.02918,             0.67263,             0.19126,             0.11242,            0.041435,            0.069967,           0.0076859,            0.024527,            0.009901,            0.009901,            0.009901,            0.023722,             0.17086,            0.031696,           0.0076204,            0.011382,            0.042619,           0.0021523,            0.095644,             0.42863,             0.13093,            0.016158,            0.026791,            0.080199,           0.0085962
                   4,            0.061198,            0.011649,            0.023218,             0.69669,             0.15872,             0.22443,             0.08183,            0.056277,           0.0080734,            0.020785,            0.009901,            0.009901,            0.009901,             0.10519,             0.20574,            0.087463,            0.022937,            0.072314,            0.062317,            0.016839,             0.29058,             0.58565,             0.29956,            0.060576,             0.17869,             0.11278,             0.04318
                   5,            0.055867,            0.010594,            0.021366,             0.36731,             0.27241,             0.25346,            0.093344,            0.059168,           0.0073204,            0.018843,            0.009868,            0.009868,            0.009868,             0.14955,             0.18639,            0.025581,            0.016436,             0.18942,            0.054724,            0.031295,              0.3943,             0.58954,             0.11241,            0.052443,             0.39691,             0.16272,            0.065921
                   6,            0.053366,            0.011019,            0.018372,              0.5218,             0.39126,             0.41335,             0.18032,            0.049836,            0.007011,            0.017779,            0.009835,            0.009835,            0.009835,             0.17275,             0.46412,             0.17286,            0.062347,             0.18045,             0.15896,            0.050727,             0.49629,             0.88732,             0.46665,             0.13588,             0.51948,             0.29635,            0.091517
                   7,            0.051902,           0.0096399,            0.016687,             0.47024,             0.37624,             0.41796,             0.20022,             0.05005,           0.0064686,             0.01708,            0.009802,            0.009802,            0.009802,             0.24662,             0.39336,             0.12863,            0.048552,             0.22643,             0.25904,             0.09889,             0.52875,             0.82433,             0.42367,            0.094226,             0.53116,             0.36419,             0.15936
                   8,            0.050226,           0.0092992,             0.01506,             0.60262,             0.46075,             0.47983,             0.22539,            0.049118,           0.0060444,            0.014206,            0.009769,            0.009769,            0.009769,             0.27009,             0.48323,            0.084341,             0.09229,             0.26085,             0.21223,             0.17467,             0.64146,             0.91518,             0.31112,             0.21656,              0.6049,             0.38308,             0.28655
                   9,            0.048641,           0.0081599,            0.013201,             0.60702,             0.53919,             0.57177,             0.28768,            0.047212,           0.0057669,            0.012648,            0.009736,            0.009736,            0.009736,             0.35277,             0.31583,             0.16557,             0.18883,             0.29937,             0.40834,             0.28304,              0.7343,             0.74178,             0.46563,             0.41459,             0.59436,             0.58464,             0.46712
                  10,             0.04755,           0.0074857,            0.011485,             0.60772,             0.60931,             0.63722,              0.3071,            0.047101,           0.0054508,            0.010806,            0.009703,            0.009703,            0.009703,             0.34532,             0.34391,             0.23108,             0.24859,             0.33775,             0.32833,             0.31475,             0.69323,             0.81357,             0.58244,             0.53648,             0.60263,             0.66328,             0.56892
                  11,            0.047262,           0.0076515,            0.010392,             0.60032,             0.65226,             0.61976,             0.29797,            0.049862,           0.0052635,            0.010171,             0.00967,             0.00967,             0.00967,             0.27545,             0.36843,             0.10886,             0.20125,             0.32929,             0.42602,             0.37649,             0.66495,             0.86056,             0.31165,             0.48426,              0.6292,             0.70608,              0.6816
