               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,    metrics/fish_mAP,metrics/jellyfish_mAP, metrics/penguin_mAP,  metrics/puffin_mAP,   metrics/shark_mAP,metrics/starfish_mAP,metrics/stingray_mAP, metrics/fish_mAP_50,metrics/jellyfish_mAP_50,metrics/penguin_mAP_50,metrics/puffin_mAP_50,metrics/shark_mAP_50,metrics/starfish_mAP_50,metrics/stingray_mAP_50
                   0,             0.10899,           0.0081402,            0.054269,           0.0038637,             0.16647,            0.011733,           0.0029272,            0.090997,           0.0075682,            0.050466,              0.0757,              0.0027,              0.0027,            0.015959,           0.0036184,          8.0344e-05,          0.00028638,          0.00027789,          0.00011925,          0.00014945,            0.059534,            0.019257,          0.00016069,            0.001218,          0.00091259,          0.00060889,          0.00043728
                   1,            0.083677,            0.011198,             0.04354,             0.30398,             0.15996,            0.023088,           0.0060227,            0.077462,           0.0079758,            0.045229,            0.050482,           0.0054818,           0.0054818,            0.015421,            0.017812,          0.00042908,          0.00027883,           0.0032449,          0.00033672,           0.0046361,            0.052507,            0.080896,           0.0021475,           0.0027883,           0.0080675,           0.0011542,            0.014052
                   2,            0.071375,            0.011482,            0.038733,             0.76746,            0.080749,            0.060852,            0.018444,            0.071184,           0.0080282,            0.035405,            0.025245,           0.0082452,           0.0082452,            0.016739,             0.09094,           0.0027977,                   0,            0.015462,                   0,           0.0031706,             0.05899,             0.31982,           0.0084615,                   0,            0.033406,                   0,           0.0052844
                   3,            0.066491,            0.011607,            0.032522,             0.82536,            0.068186,             0.09653,            0.030439,            0.070804,           0.0076908,            0.027644,            0.009901,            0.009901,            0.009901,            0.031022,            0.098711,            0.031884,           0.0055607,            0.033102,            0.004476,           0.0083169,            0.099822,             0.37426,             0.10355,           0.0092678,            0.063269,           0.0074601,            0.018077
                   4,            0.063546,            0.011546,            0.026372,             0.72565,              0.1674,              0.1786,            0.066456,            0.059971,           0.0078838,            0.023965,            0.009901,            0.009901,            0.009901,            0.068434,             0.26738,            0.053783,            0.016558,            0.015577,            0.030595,            0.012861,             0.24526,             0.63797,             0.20033,            0.034231,            0.035904,            0.071102,            0.025428
                   5,            0.058544,             0.01052,            0.024284,             0.69138,             0.14911,             0.13661,            0.051165,            0.062419,           0.0077782,            0.021425,            0.009868,            0.009868,            0.009868,            0.098011,             0.10895,            0.026921,            0.013864,            0.021622,            0.057825,            0.030959,             0.24248,             0.32114,             0.10574,            0.045981,             0.04006,             0.14083,            0.060054
                   6,            0.055808,            0.011234,            0.020811,             0.81121,             0.22605,             0.28371,             0.12827,            0.050751,           0.0076282,            0.019777,            0.009835,            0.009835,            0.009835,             0.15527,             0.42532,             0.10284,            0.026375,            0.059464,            0.076727,             0.05192,             0.39152,             0.91438,             0.27221,            0.071784,             0.12923,             0.11357,             0.09332
                   7,            0.053443,            0.010111,            0.019529,             0.76147,             0.23136,             0.27525,             0.12135,            0.052269,           0.0069921,            0.019097,            0.009802,            0.009802,            0.009802,             0.21509,             0.18352,            0.092086,            0.032379,             0.11946,             0.11579,            0.091143,             0.46869,             0.51045,              0.3236,            0.067639,             0.22746,               0.176,             0.15294
                   8,            0.051533,           0.0097767,            0.017891,             0.48402,             0.47458,             0.41401,             0.18803,             0.04784,           0.0065632,            0.016278,            0.009769,            0.009769,            0.009769,             0.26708,             0.36433,             0.11554,             0.14479,             0.15408,              0.1634,             0.10696,              0.6202,             0.81303,             0.35142,             0.32199,             0.36615,             0.23298,             0.19232
                   9,            0.051294,           0.0086373,            0.016138,             0.50602,             0.51031,             0.50163,             0.22662,            0.047422,           0.0062548,             0.01406,            0.009736,            0.009736,            0.009736,             0.31094,             0.31021,              0.1754,             0.18499,             0.21297,             0.19074,             0.20111,             0.66025,             0.81448,             0.46821,             0.48886,             0.44447,             0.33701,             0.29815
                  10,            0.048601,           0.0081105,            0.014385,             0.47488,             0.50902,             0.49048,              0.2354,             0.04983,            0.005752,            0.012653,            0.009703,            0.009703,            0.009703,             0.28444,             0.41799,             0.23297,            0.083348,             0.24501,             0.13809,             0.24594,              0.5727,             0.84332,             0.60218,             0.27777,              0.5188,             0.23328,             0.38532
                  11,            0.049444,           0.0081469,            0.013198,             0.55477,             0.56547,             0.56617,             0.27476,            0.047038,           0.0058662,             0.01222,             0.00967,             0.00967,             0.00967,             0.32582,             0.45886,             0.16476,             0.21665,             0.26244,             0.22908,             0.26573,             0.65617,             0.88198,             0.48582,             0.47541,             0.55242,             0.40257,             0.50886
                  12,            0.047244,             0.00745,             0.01179,             0.59473,             0.58497,             0.59196,             0.28939,            0.046254,           0.0054527,            0.010527,            0.009637,            0.009637,            0.009637,             0.35776,             0.31623,             0.27009,             0.14318,             0.31172,             0.24001,             0.38672,             0.71979,              0.6644,             0.65264,             0.38594,             0.62019,             0.49334,             0.60743
