               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,    metrics/fish_mAP,metrics/jellyfish_mAP, metrics/penguin_mAP,  metrics/puffin_mAP,   metrics/shark_mAP,metrics/starfish_mAP,metrics/stingray_mAP, metrics/fish_mAP_50,metrics/jellyfish_mAP_50,metrics/penguin_mAP_50,metrics/puffin_mAP_50,metrics/shark_mAP_50,metrics/starfish_mAP_50,metrics/stingray_mAP_50
                 300,            0.021599,            0.031863,          0.00054105,             0.80728,             0.75136,             0.77986,             0.46499,            0.039796,            0.058125,           0.0067188,             0.00027,             0.00027,             0.00027,             0.47612,             0.57023,             0.36526,             0.24878,             0.45598,             0.58727,             0.55133,             0.83915,             0.94894,             0.72016,             0.52596,             0.78933,             0.82904,             0.80642
                 301,            0.022088,            0.031582,          0.00047035,             0.79818,             0.76556,             0.78493,             0.47087,            0.039541,             0.05739,           0.0064972,          0.00054456,          0.00054456,          0.00054456,              0.4803,             0.57174,             0.36187,             0.26177,             0.46385,             0.59484,             0.56169,             0.84132,             0.94814,             0.71053,             0.58014,             0.78255,             0.82286,             0.80898
                 302,             0.02222,            0.029666,          0.00058445,             0.80156,             0.76209,             0.78694,             0.47201,            0.039687,            0.057346,           0.0064825,          0.00081357,          0.00081357,          0.00081357,             0.47668,              0.5622,             0.36529,             0.27379,             0.47958,              0.5891,              0.5574,             0.83665,             0.94639,             0.71427,             0.58905,             0.79475,             0.82337,             0.80414
                 303,            0.022477,            0.031756,          0.00056972,             0.80716,              0.7531,             0.78759,             0.46786,            0.039823,            0.057264,           0.0064979,           0.0009703,           0.0009703,           0.0009703,             0.47753,             0.55846,             0.35574,             0.26376,             0.48374,             0.58661,             0.54914,             0.83564,             0.94635,             0.70936,              0.5937,             0.79075,             0.83392,              0.8034
                 304,            0.021693,            0.032102,           0.0005336,             0.79683,             0.77388,             0.78841,              0.4694,            0.039967,            0.056936,           0.0065076,           0.0009703,           0.0009703,           0.0009703,             0.47661,             0.56337,             0.35235,             0.26618,             0.48436,             0.59623,             0.54671,             0.83932,             0.93701,             0.71767,             0.59666,             0.80019,             0.83057,             0.79747
                 305,            0.021127,            0.029221,          0.00040882,             0.80453,              0.7572,             0.78786,             0.46903,            0.039751,             0.05677,           0.0066142,           0.0009604,           0.0009604,           0.0009604,             0.47982,             0.56136,             0.35804,             0.25934,             0.47189,             0.59416,             0.55861,             0.84063,             0.94217,             0.72246,             0.57929,             0.79829,             0.82572,              0.8065
                 306,            0.021971,            0.032719,          0.00064908,             0.81499,             0.74825,               0.786,             0.46747,            0.039766,            0.057457,            0.006539,           0.0009505,           0.0009505,           0.0009505,             0.47657,             0.55713,             0.35607,             0.27012,             0.48231,             0.58625,             0.54383,             0.83639,             0.94523,             0.71756,             0.59289,              0.7954,             0.82766,             0.78685
                 307,            0.022349,            0.030591,          0.00073772,              0.8157,             0.76275,             0.78982,             0.46876,            0.039655,            0.057318,            0.006432,           0.0009406,           0.0009406,           0.0009406,             0.48028,             0.56047,             0.35362,             0.28247,             0.47775,             0.59134,             0.53541,             0.83869,             0.94481,             0.71776,             0.60438,             0.79652,             0.83914,             0.78746
                 308,            0.022129,            0.032563,          0.00058701,             0.80553,             0.76569,             0.78755,             0.46779,            0.039799,            0.057566,           0.0063835,           0.0009307,           0.0009307,           0.0009307,             0.47909,             0.55022,             0.35249,             0.27058,             0.47911,             0.60553,             0.53751,             0.84085,              0.9379,             0.71336,             0.60094,             0.79571,              0.8367,             0.78741
                 309,            0.022042,            0.030143,          0.00064725,             0.80141,             0.77026,             0.78995,             0.47358,            0.039606,             0.05744,           0.0063014,           0.0009208,           0.0009208,           0.0009208,              0.4812,             0.55281,             0.36064,             0.27513,             0.49025,             0.60343,             0.55161,             0.83887,             0.93667,             0.72651,             0.60386,             0.79388,             0.83613,             0.79375
                 310,            0.021741,            0.030013,          0.00058408,             0.80658,             0.76126,             0.78991,             0.47414,            0.039635,            0.057062,           0.0062704,           0.0009109,           0.0009109,           0.0009109,             0.47979,             0.55597,             0.35663,             0.27966,             0.49279,             0.59708,             0.55709,             0.84347,             0.93915,             0.71771,             0.61084,             0.79275,             0.82065,              0.8048
                 311,            0.022337,            0.031875,          0.00060153,             0.81177,             0.76663,              0.7883,              0.4702,            0.039621,            0.057026,           0.0062558,            0.000901,            0.000901,            0.000901,             0.47826,             0.55835,              0.3598,             0.27917,             0.47914,             0.59766,             0.53906,             0.84043,             0.93881,             0.71724,             0.61525,             0.78523,             0.81884,             0.80228
                 312,             0.02141,             0.02955,          0.00060781,             0.81794,             0.75678,             0.78937,             0.46778,             0.03942,            0.056948,           0.0063422,           0.0008911,           0.0008911,           0.0008911,              0.4824,             0.56347,             0.36167,             0.27124,             0.45879,             0.58731,             0.54956,             0.83946,             0.95111,             0.71612,             0.60785,             0.78587,             0.81772,             0.80746
                 313,            0.021851,            0.030169,          0.00053837,             0.83642,             0.74135,             0.79014,             0.46999,            0.039624,            0.057066,           0.0062971,           0.0008812,           0.0008812,           0.0008812,              0.4796,             0.55871,             0.35659,             0.27327,             0.46949,             0.58858,             0.56366,             0.83901,             0.94943,             0.71363,             0.60072,             0.78529,             0.81926,             0.82362
                 314,             0.02178,            0.031655,          0.00055736,             0.83241,             0.73798,             0.78563,             0.47005,            0.039674,            0.057331,           0.0063189,           0.0008713,           0.0008713,           0.0008713,             0.47808,             0.55684,             0.35323,             0.27655,             0.46865,             0.59555,             0.56148,             0.83727,             0.93773,             0.70515,             0.59916,             0.78487,             0.81934,             0.81585
                 315,            0.022114,            0.032071,          0.00049696,             0.80839,             0.74932,             0.78551,             0.47069,            0.039808,            0.057451,           0.0062796,           0.0008614,           0.0008614,           0.0008614,             0.47897,             0.56209,             0.35251,             0.27049,             0.47941,             0.58758,             0.56375,              0.8384,             0.94024,             0.71203,             0.60457,             0.78091,             0.81544,             0.80696
                 316,            0.021695,            0.027899,          0.00062001,             0.80745,             0.77112,              0.7862,             0.46795,            0.039641,            0.057545,           0.0061963,           0.0008515,           0.0008515,           0.0008515,             0.47954,             0.54918,             0.36404,             0.26996,             0.47192,             0.58628,             0.55476,             0.83877,             0.94073,             0.72441,             0.60379,             0.78131,             0.81175,             0.80262
                 317,            0.021102,            0.030654,          0.00053135,             0.79778,             0.76069,             0.78551,             0.47048,            0.039544,            0.058397,           0.0062381,           0.0008416,           0.0008416,           0.0008416,             0.48294,             0.56308,             0.35613,             0.27465,             0.47076,             0.58623,             0.55958,             0.83806,              0.9556,             0.72413,             0.57856,             0.78466,             0.80418,             0.81336
                 318,            0.022483,            0.033446,          0.00051713,             0.81446,             0.74916,             0.78674,             0.46714,             0.03972,            0.058619,           0.0062208,           0.0008317,           0.0008317,           0.0008317,             0.47705,             0.55657,             0.36318,              0.2631,             0.47133,             0.57376,             0.56503,             0.83647,             0.95251,             0.73027,             0.58428,             0.78329,             0.80381,             0.81655
                 319,            0.021655,            0.030406,          0.00056439,             0.81364,             0.74731,             0.78451,             0.46995,            0.039555,            0.058283,           0.0062168,           0.0008218,           0.0008218,           0.0008218,             0.47868,             0.55848,             0.35599,             0.26652,             0.48809,              0.5731,             0.56879,             0.83513,             0.95162,             0.71787,             0.58271,             0.78193,             0.81115,             0.81116
                 320,            0.021881,            0.032345,          0.00051253,             0.79198,             0.77104,             0.78709,             0.47089,            0.039507,            0.058039,           0.0061689,           0.0008119,           0.0008119,           0.0008119,             0.48528,             0.56323,             0.35648,             0.26687,             0.46958,             0.58777,             0.56702,             0.83597,             0.95039,             0.72517,             0.58813,                0.78,             0.81142,             0.81854
                 321,            0.021771,            0.031123,          0.00057258,             0.78672,             0.77332,             0.78928,             0.46911,            0.039613,            0.057613,           0.0062932,            0.000802,            0.000802,            0.000802,               0.485,             0.56112,             0.35379,              0.2673,             0.46973,             0.58534,             0.56149,             0.84319,             0.95262,             0.72392,             0.59295,             0.77983,             0.81283,             0.81961
                 322,            0.022255,            0.031089,          0.00058058,              0.7795,             0.77254,             0.78471,             0.46798,            0.039649,            0.057766,           0.0062491,           0.0007921,           0.0007921,           0.0007921,             0.48046,             0.55019,             0.34978,             0.26677,             0.46779,             0.59712,             0.56377,             0.83741,             0.93526,             0.70963,             0.60276,             0.78086,             0.81333,             0.81371
                 323,            0.022246,             0.03214,          0.00056288,             0.78523,             0.78085,             0.78925,             0.47202,            0.039464,            0.057121,           0.0060697,           0.0007822,           0.0007822,           0.0007822,             0.48557,             0.55772,             0.35063,             0.28379,             0.46721,             0.59838,             0.56083,             0.84409,             0.95054,             0.71477,             0.61228,             0.78362,             0.81131,             0.80815
                 324,             0.02163,            0.031732,          0.00048356,             0.84663,             0.72358,             0.78944,              0.4733,            0.039467,            0.057106,           0.0060641,           0.0007723,           0.0007723,           0.0007723,             0.48122,             0.56351,             0.35135,              0.2874,             0.46941,             0.59802,             0.56219,             0.84626,             0.94274,             0.71347,             0.61262,              0.7843,             0.81412,             0.81259
                 325,            0.021804,            0.030956,          0.00053129,             0.84598,              0.7198,                0.79,             0.47514,            0.039529,            0.057491,           0.0060528,           0.0007624,           0.0007624,           0.0007624,             0.48493,             0.55374,             0.36341,              0.2802,             0.47847,             0.59027,             0.57496,             0.84308,             0.94128,             0.71056,             0.60078,             0.78451,             0.82393,             0.82589
                 326,            0.021969,            0.030488,          0.00059868,             0.82288,             0.74695,             0.78812,             0.47073,            0.039649,            0.057472,           0.0060026,           0.0007525,           0.0007525,           0.0007525,             0.48414,             0.55627,             0.35281,             0.26677,              0.4707,             0.59551,             0.56887,              0.8451,             0.93592,             0.71852,             0.58986,             0.78306,             0.81714,             0.82729
                 327,            0.021242,            0.029622,           0.0005526,             0.81551,             0.74865,             0.78379,              0.4713,            0.039759,            0.057444,           0.0061021,           0.0007426,           0.0007426,           0.0007426,             0.47837,             0.55851,             0.35892,             0.26533,             0.47322,             0.59144,             0.57329,             0.84163,              0.9382,             0.70882,              0.5811,             0.78241,             0.82113,             0.81321
                 328,            0.022066,            0.031514,          0.00048109,             0.83153,             0.72736,             0.78311,             0.46597,            0.039835,            0.057604,           0.0061552,           0.0007327,           0.0007327,           0.0007327,             0.48235,              0.5585,             0.35272,             0.26426,             0.46574,             0.58716,             0.55106,              0.8403,             0.93756,             0.71006,             0.57669,             0.78331,             0.82206,              0.8118
                 329,            0.021473,            0.030751,          0.00053269,             0.81239,             0.74189,             0.78696,             0.47202,            0.039852,            0.057642,           0.0061289,           0.0007228,           0.0007228,           0.0007228,             0.47934,             0.56033,             0.35355,             0.27412,              0.4832,             0.58011,             0.57345,             0.84086,             0.94219,             0.71811,               0.588,             0.78484,             0.82285,             0.81189
                 330,            0.021737,            0.031413,           0.0005431,             0.83209,             0.74092,             0.78898,             0.47146,            0.039693,            0.057798,           0.0060235,           0.0007129,           0.0007129,           0.0007129,             0.47831,             0.56163,             0.35941,             0.27888,             0.48391,             0.58812,                0.55,             0.84176,             0.94138,             0.71828,             0.60668,             0.79105,             0.81678,             0.80691
                 331,            0.022152,            0.029107,          0.00056991,             0.82853,             0.74634,             0.79098,             0.47276,            0.039879,            0.057636,           0.0060272,            0.000703,            0.000703,            0.000703,             0.47778,             0.55157,             0.35686,             0.28171,             0.48271,             0.59174,             0.56694,             0.83908,             0.94289,             0.71928,             0.61161,             0.79104,             0.81834,             0.81466
                 332,            0.021477,            0.031851,          0.00042759,              0.8451,              0.7319,             0.78772,             0.47143,            0.039771,             0.05788,            0.006031,           0.0006931,           0.0006931,           0.0006931,             0.47512,             0.56041,             0.35621,             0.28308,             0.47393,             0.57972,             0.57153,             0.84143,             0.93698,             0.71604,             0.60478,             0.78224,             0.81921,             0.81333
                 333,            0.021144,            0.030081,          0.00052496,             0.83575,              0.7474,             0.78416,             0.46916,            0.039721,            0.058159,           0.0060051,           0.0006832,           0.0006832,           0.0006832,             0.47813,             0.55917,             0.35072,             0.27048,             0.47028,             0.58027,              0.5751,             0.84361,             0.93407,             0.71489,             0.59189,              0.7814,               0.812,             0.81127
                 334,            0.021703,            0.030717,          0.00054132,             0.83794,             0.73705,             0.78547,              0.4697,            0.039777,            0.057995,           0.0060249,           0.0006733,           0.0006733,           0.0006733,             0.47902,             0.55546,              0.3523,             0.27638,              0.4674,             0.57456,             0.58281,              0.8458,             0.93468,             0.71363,             0.59108,             0.78355,             0.81556,             0.81396
                 335,            0.021082,            0.029266,          0.00045906,             0.85411,             0.73539,             0.78656,             0.47343,             0.03967,            0.057848,           0.0060195,           0.0006634,           0.0006634,           0.0006634,             0.48329,              0.5638,              0.3513,             0.28015,             0.47684,             0.58202,             0.57662,              0.8468,             0.93513,             0.71669,             0.59055,             0.78509,             0.81877,             0.81291
                 336,            0.021414,            0.029192,          0.00046458,             0.85169,             0.73114,             0.79457,             0.47512,            0.039678,            0.057678,           0.0059451,           0.0006535,           0.0006535,           0.0006535,             0.48448,             0.56436,              0.3473,             0.27925,             0.47887,             0.58223,             0.58938,             0.84499,             0.93778,             0.73138,             0.61245,             0.78736,             0.81603,               0.832
                 337,            0.021404,            0.030433,          0.00041441,             0.85849,             0.73115,             0.79349,             0.47797,            0.039693,            0.057472,           0.0058993,           0.0006436,           0.0006436,           0.0006436,             0.48178,             0.55872,             0.35404,             0.28081,             0.49365,             0.59059,             0.58617,             0.84554,             0.94766,             0.73189,             0.60187,             0.78254,             0.81704,             0.82786
                 338,            0.021589,            0.030714,          0.00048732,             0.85809,             0.72341,             0.78783,             0.48017,            0.039681,            0.057447,           0.0059446,           0.0006337,           0.0006337,           0.0006337,             0.48319,             0.56336,              0.3626,             0.27505,             0.49245,             0.59181,             0.59276,             0.84365,             0.93458,              0.7241,             0.59691,               0.778,              0.8066,             0.83093
                 339,            0.021963,            0.031693,          0.00056074,             0.84906,             0.72963,             0.78858,             0.47617,            0.039793,            0.057577,           0.0059502,           0.0006238,           0.0006238,           0.0006238,             0.48655,             0.55686,             0.36157,             0.27621,             0.49414,             0.57512,             0.58272,              0.8433,             0.93585,             0.71663,             0.60738,             0.77971,             0.80933,             0.82786
                 340,            0.021165,            0.029615,          0.00047436,             0.81026,             0.76517,              0.7924,              0.4712,            0.039824,            0.057587,           0.0059696,           0.0006139,           0.0006139,           0.0006139,             0.48098,             0.55685,             0.35615,             0.27669,             0.48215,             0.57809,             0.56748,             0.84036,             0.93533,             0.73326,             0.61585,             0.78645,              0.8089,             0.82662
                 341,            0.020913,            0.029892,           0.0005968,             0.82175,             0.74401,             0.78902,             0.47354,            0.039809,            0.057808,           0.0060732,            0.000604,            0.000604,            0.000604,              0.4791,             0.56654,             0.35067,              0.2722,             0.48756,             0.57891,             0.57982,             0.83953,             0.93785,              0.7025,             0.62216,             0.79308,             0.81251,             0.81552
                 342,            0.020931,             0.02929,          0.00051392,             0.79404,              0.7669,             0.78829,             0.47589,             0.03994,            0.058037,           0.0061807,           0.0005941,           0.0005941,           0.0005941,             0.47665,             0.56632,             0.35262,             0.26848,              0.4887,             0.59412,             0.58437,             0.84197,             0.93691,             0.70886,             0.60138,             0.79373,             0.81323,             0.82199
                 343,            0.021638,             0.03072,          0.00050344,             0.85112,              0.7197,             0.78921,             0.47519,            0.039918,             0.05813,           0.0062163,           0.0005842,           0.0005842,           0.0005842,             0.47592,             0.55832,             0.35272,             0.27342,             0.49523,              0.5825,             0.58823,             0.84217,             0.93725,             0.71587,             0.59588,             0.79659,             0.81143,             0.82527
