               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,    metrics/fish_mAP,metrics/jellyfish_mAP, metrics/penguin_mAP,  metrics/puffin_mAP,   metrics/shark_mAP,metrics/starfish_mAP,metrics/stingray_mAP, metrics/fish_mAP_50,metrics/jellyfish_mAP_50,metrics/penguin_mAP_50,metrics/puffin_mAP_50,metrics/shark_mAP_50,metrics/starfish_mAP_50,metrics/stingray_mAP_50
                 300,            0.022245,           0.0038745,          0.00053475,             0.84557,             0.73424,             0.80591,              0.4751,            0.038589,           0.0051622,            0.005866,             0.00027,             0.00027,             0.00027,             0.46396,             0.56021,             0.34988,             0.26158,             0.50738,             0.61186,             0.57083,             0.83369,             0.95272,             0.74132,              0.6142,             0.80339,             0.87581,             0.82025
                 301,            0.022868,           0.0038701,          0.00049911,             0.81497,             0.75894,             0.81112,             0.48304,            0.038354,           0.0050678,           0.0057197,          0.00054456,          0.00054456,          0.00054456,             0.47236,             0.56914,             0.36045,             0.27254,             0.51191,             0.62454,             0.57033,             0.83833,             0.95238,             0.75239,              0.6375,              0.8081,             0.87212,             0.81704
                 302,            0.022835,           0.0036727,          0.00049875,             0.77359,             0.79093,             0.80911,             0.47912,            0.038426,           0.0050499,            0.005704,          0.00081357,          0.00081357,          0.00081357,             0.47179,             0.55398,             0.35491,             0.26324,             0.51315,             0.62025,             0.57653,              0.8401,             0.95079,             0.74708,             0.63319,             0.80873,             0.86506,             0.81882
                 303,            0.023016,           0.0038701,          0.00061327,             0.84142,             0.72197,             0.80825,             0.47944,            0.038458,           0.0050533,           0.0057278,           0.0009703,           0.0009703,           0.0009703,             0.47431,             0.55863,             0.34482,             0.26453,              0.5155,             0.61346,             0.58485,             0.84103,              0.9489,             0.73694,             0.64135,              0.8104,             0.86248,             0.81664
                 304,            0.022344,           0.0039039,          0.00050946,             0.77995,             0.77894,             0.80918,             0.47936,            0.038544,            0.005055,           0.0056997,           0.0009703,           0.0009703,           0.0009703,             0.47105,             0.56651,              0.3469,             0.26749,              0.5129,             0.60675,             0.58393,             0.83816,             0.94768,             0.74377,             0.64418,             0.80781,             0.86616,             0.81649
                 305,            0.021657,           0.0035581,          0.00040304,             0.84717,             0.71111,             0.80769,             0.47907,            0.038525,           0.0050457,           0.0057109,           0.0009604,           0.0009604,           0.0009604,             0.47129,             0.54614,             0.34316,             0.27136,             0.50937,             0.62123,             0.59091,             0.83949,             0.95172,             0.72733,             0.64863,             0.80213,             0.86744,             0.81708
                 306,            0.022445,            0.003957,          0.00060005,             0.75119,             0.79204,              0.8061,             0.48405,            0.038454,           0.0050446,           0.0056496,           0.0009505,           0.0009505,           0.0009505,             0.47022,             0.55888,             0.35586,             0.27409,             0.52273,             0.62034,              0.5862,             0.83538,             0.94594,             0.73429,             0.64094,             0.79379,             0.87075,             0.82163
                 307,            0.022803,           0.0037131,          0.00053293,             0.76113,             0.79469,             0.80736,             0.48037,            0.038392,           0.0050505,           0.0055574,           0.0009406,           0.0009406,           0.0009406,             0.47563,              0.5589,             0.35263,             0.28124,              0.4978,             0.61485,             0.58157,             0.83816,             0.95154,             0.73872,             0.63133,             0.79882,             0.87188,              0.8211
                 308,            0.022729,           0.0039601,          0.00058226,             0.79768,             0.76403,             0.80994,             0.48332,            0.038294,            0.005065,           0.0054141,           0.0009307,           0.0009307,           0.0009307,             0.47243,             0.55811,              0.3622,               0.276,             0.51236,             0.62049,             0.58167,             0.84243,             0.94903,             0.73857,             0.63079,             0.80929,              0.8703,             0.82916
                 309,            0.022689,           0.0036695,          0.00053393,             0.80997,             0.76003,             0.81221,             0.48188,            0.038316,           0.0050667,            0.005405,           0.0009208,           0.0009208,           0.0009208,              0.4735,             0.55697,             0.35296,             0.28878,             0.50726,             0.60587,              0.5878,             0.84211,             0.94923,             0.74332,             0.65286,             0.80892,             0.86841,             0.82064
